Site,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36
NCAP-MD-LFP2,-1.631163339,1.751475697,-1.575650181,1.253125517,1.173078002,0.417916853,-0.56296898,0.104509339,-0.81285659,0.966379279,0.67962909,-0.939207821,0.085006474,-1.587884486,-1.072365753,0.526097809,-0.768581311,0.188266181,0.128040055,0.315391877,-0.249921459,-0.947017905,-3.135200851,-2.537725825,0.46852689,-1.162333532,-0.825807243,0.023487915,-1.1051921,-0.418211948,0.277039542,-0.850849542,2.897343865,-1.428749062,-0.709522,1.313319824
NCAP-MD-LFP3,0.260501945,-1.094627298,0.656051714,-0.613990091,0.071132767,0.763390128,-0.114049116,1.14975865,-0.269612005,-0.71682659,1.596904214,-0.449964542,0.50291619,0.22604252,1.799921249,-0.202064609,-0.179349599,-1.454969688,-0.883758933,1.277043745,0.25987188,0.243335429,-0.07254078,1.782174712,-0.312248098,-0.170489346,-0.344663302,-0.91052052,0.452265262,-1.07059135,2.051881793,-0.418287244,0.582498702,0.656573784,0.788646409,-0.837981363
NCAP-MD-MRC1,-1.058055838,-1.019405565,0.343896653,-0.426250626,1.020765978,0.603838631,0.837314337,0.840193412,0.742023812,0.810909163,-0.346465235,-1.121034882,0.698743595,-0.71600243,-1.616744401,-0.772965999,0.152784463,0.027061073,0.881867489,0.777142494,0.267763442,1.616784423,1.057393046,-0.119931482,-0.167129925,0.856075245,-0.311044521,0.0667219,-0.017547467,1.233055823,0.109843926,-0.754748782,1.281918149,0.940260407,-0.453423937,-0.306051596
NCAP-MD-NWP1,-0.446290857,1.841389688,0.41534325,-0.880638927,0.858370325,0.333607059,-0.151920089,0.726371573,0.063308596,0.054059567,0.814173014,-0.343894464,-1.054242554,1.458452927,-0.955704701,0.525296632,0.394742473,0.344097731,-0.740593458,-0.338668543,-1.549201638,-0.339759432,-0.647952568,-0.884202054,0.184000657,-0.995601466,-0.73945701,1.388407651,-0.507869009,1.621844553,0.178702672,0.662227497,1.301382025,0.958912079,0.412778361,-1.853552502
NCAP-MD-PBP1,0.283356259,-0.622696853,-0.796308627,-0.733585831,-0.787806798,0.228546481,0.865913323,0.961544693,-0.451149312,0.532618055,0.909236287,0.647367234,1.632129583,1.027124349,0.753668346,2.184068469,-1.071622181,1.054664774,1.184986641,-0.655308529,-0.020011267,0.171161687,0.962971753,-0.19321895,-0.750434997,-0.21016454,-1.258155164,-0.370342007,-1.383978035,-0.285628959,0.535365853,-0.505926228,-0.786736698,0.551834565,0.563630323,-0.599102782
NCAP-MD-PGM1,-0.55354386,-0.517348565,0.207913037,0.042290951,-0.313437579,-1.369370939,-0.407151854,1.071346897,-0.217783182,1.918140504,-0.745530114,0.956846452,-1.151453115,0.356644994,-0.258056811,0.82433099,-0.342991418,-1.491352162,-0.246543796,1.026324797,1.146026886,-1.993972431,1.158001516,1.861994431,-0.1188236,-0.504842287,0.311531078,-0.281198269,2.40820373,1.016213365,-0.226931862,1.087374586,-0.875633924,0.109950047,-0.386060851,0.639480087
NCAP-MD-RCP1,-0.815358792,1.446347056,-0.536286574,-0.057833545,-2.328734015,-0.263949411,0.933752904,-0.18565413,-0.625298755,0.101077238,0.328912854,0.330032175,-0.184318747,-0.278423517,2.713107391,0.410569516,-0.395662792,0.299469274,1.215453321,-1.023213961,1.165495878,-0.43606652,0.133096493,-0.310312382,-0.054596968,1.265746057,0.47760789,-0.603033657,0.228820972,1.149653254,-1.050986779,0.514787546,0.410305609,0.450866725,-1.741539968,-2.338148434
NCAP-MD-RCS2,1.706432286,-0.45090412,-0.476639013,1.507157362,-0.399499492,1.614557428,-0.017553428,-0.842150385,0.740259516,0.94492165,-2.349312712,-0.48533224,0.557190434,-0.909249726,0.644081568,0.786093162,0.390722759,0.240070959,1.260998008,-0.379514593,-0.277860589,0.196262567,-1.155948505,-0.019153772,-0.773746463,1.415348342,-1.705412447,0.108596327,0.178713355,0.130558477,-0.945515056,-0.167127301,0.872928493,0.220705547,-0.27795111,0.801432851
NCAP-MD-SCG1,-0.237304713,-0.274674549,-0.751637982,-0.824572996,-2.35460863,-1.758004276,-0.06409352,-0.606100537,-0.966940567,-2.4516356,0.129289525,1.05401901,-0.271672444,-0.914645483,-1.893797087,-2.267847677,-0.424295327,0.083212376,1.674497759,0.253021735,-0.278398887,-0.268687941,0.044388498,0.982053628,-0.455238767,-0.74220188,-1.644869491,-0.364331509,-0.631647259,-1.018556022,-0.296629363,1.482851574,0.576072847,-0.100790434,-0.818688283,1.546304454
NCAP-MD-SLC1,-1.202290383,-0.214480261,1.748552212,0.968132048,-1.281047065,-0.582875007,1.48272726,-1.668894909,-0.229025506,-1.553611229,1.671884472,-1.184153634,-1.589133237,0.804508279,-0.308086566,0.064458772,1.339380568,1.067814379,-0.006669032,-0.923002595,-0.747180929,0.469290603,1.185702198,-1.09155471,1.10852298,-0.009219062,-0.343096706,0.602711357,-1.215520324,-1.983177091,0.588361745,0.753285735,0.965619693,-0.610475281,0.247384321,1.706447956
NCAP-MD-SLP1,0.152877809,0.296527256,-0.550899849,1.426731523,-0.883374342,-0.793116032,1.442165857,0.667213568,-1.579963515,-0.305030795,-1.737497713,-1.240811962,1.682248311,-0.628770674,-0.244045187,0.0894964,0.321242585,0.103590234,1.47426812,0.643201344,-0.244079649,0.588424461,0.79654538,2.364718796,1.908788253,0.978641314,-0.025467805,-0.201120815,-0.82469354,-0.785381292,0.327811848,0.792190873,0.023506761,-0.459566636,0.447713776,0.232538889
NCAP-MD-SYC1,0.353315787,1.075096471,0.746229747,1.35353139,1.264359874,-0.779409479,-0.720192047,-1.429112041,1.264224391,-0.393467401,0.904098074,0.675582357,-0.428042114,1.539471535,-0.356986541,0.040867505,-1.006112026,-0.243600329,0.740267775,0.519064684,-2.400879243,-0.96285831,0.301656034,-0.526358386,2.361471571,-0.129939179,1.6270114,-3.389660537,0.316986166,0.638351875,-1.07370611,2.094874848,0.200858426,1.324816115,0.756844895,-1.205916991
NCAP-MD-TCC1,-0.368482997,0.381526451,-0.081494988,-1.936017153,1.165149005,0.163784502,-0.998049758,0.821398164,-0.09836896,-0.338975541,1.359684787,0.568803921,-1.013687487,0.820278127,-0.651623115,1.7518687,-0.242575507,-0.783295183,-0.225152952,0.710692839,-0.769245561,0.414282703,0.766335394,-0.506324076,-0.389076516,-0.210848799,-0.218863658,0.001310722,2.071806836,0.675127446,-0.189129726,0.668780357,-0.634858044,-1.247007726,1.093866659,-0.407935732
NCAP-MD-TPB1,1.307286661,0.654240709,0.572902525,-2.563760802,-1.079772758,0.468477612,-0.855288734,-0.026535487,1.71875844,-0.908288553,-0.324060361,-0.497776705,-0.698219349,0.420825342,2.118698056,-1.38023754,-1.108791973,0.49629744,-0.81113509,0.390485188,-0.419065845,0.814439825,0.095030758,-0.481360167,0.47218937,-0.090263847,-1.028028336,-0.893372336,-0.72471913,-1.268579503,0.224909703,1.297057812,1.624419985,0.048523644,-0.550886007,-2.140752762
NCAP-MD-WMR1,0.914170954,-5.32E-04,-0.024553401,0.501937715,2.454402777,-1.215302517,0.294582405,-1.754786681,-1.561432504,0.657619788,0.929063979,0.15476754,0.115899635,-0.909027765,0.408309373,2.473517637,0.535949447,-1.463271149,1.314191698,0.295746246,-1.129985563,0.901948034,-1.260190606,1.240808407,0.313614116,0.821158455,0.834669065,-1.062504632,-0.958857395,0.864278568,0.826101461,-1.709585669,-0.115031386,1.084337196,-1.080015112,0.502702213
